"caseid","state","dem","rep","nhwhite","nhblack","BA","faminc3","obama","CC410a","birthyr"
165124250,"Maryland",1,0,1,0,0,175,1,"Barack Obama (Democratic)","1958"
163044577,"California",1,0,0,1,0,25,1,"Barack Obama (Democratic)","1963"
164204498,"Michigan",0,0,1,0,0,15,NA,NA,"1988"
162593427,"Iowa",0,0,1,0,0,35,0,"Mitt Romney (Republican)","1975"
164561162,"South Dakota",1,0,1,0,0,130,1,"Barack Obama (Democratic)","1992"
162030918,"Colorado",0,0,1,0,1,NA,1,"Barack Obama (Democratic)","1951"
162471754,"Montana",0,1,1,0,0,25,0,"Mitt Romney (Republican)","1947"
163603971,"California",0,0,0,0,0,55,NA,NA,"1972"
162352825,"California",1,0,0,1,0,55,NA,NA,"1954"
166645068,"California",0,0,1,0,1,75,0,"Mitt Romney (Republican)","1955"
162273157,"Illinois",0,0,1,0,1,NA,0,"Other","1963"
165385677,"Illinois",1,0,0,1,0,35,NA,NA,"1994"
162253016,"California",0,1,1,0,0,NA,0,"Mitt Romney (Republican)","1945"
162366994,"Illinois",1,0,1,0,1,55,1,"Barack Obama (Democratic)","1955"
161983909,"Louisiana",0,0,1,0,1,75,0,"Mitt Romney (Republican)","1939"
164866748,"Pennsylvania",0,0,1,0,0,5,NA,NA,"1963"
162300854,"Colorado",1,0,1,0,1,75,1,"Barack Obama (Democratic)","1947"
164555024,"Arizona",0,0,0,0,0,NA,NA,NA,"1993"
163065665,"California",0,0,0,1,0,35,NA,NA,"1961"
164233896,"Washington",1,0,1,0,1,75,1,"Barack Obama (Democratic)","1957"
165070046,"New York",1,0,1,0,0,65,0,"Mitt Romney (Republican)","1975"
163308112,"Texas",0,0,0,1,0,55,1,"Barack Obama (Democratic)","1971"
162536591,"Alabama",0,0,1,0,0,25,0,"Mitt Romney (Republican)","1983"
163200352,"New York",1,0,0,1,1,45,NA,NA,"1944"
162946613,"Florida",0,0,1,0,0,75,0,"Mitt Romney (Republican)","1953"
165146069,"California",1,0,0,0,0,65,NA,NA,"1961"
164123419,"North Dakota",0,1,1,0,0,35,0,"Mitt Romney (Republican)","1935"
162777459,"Pennsylvania",0,0,1,0,1,65,0,"Other","1981"
162851615,"Texas",0,0,0,1,1,175,1,"Barack Obama (Democratic)","1952"
164587664,"Nevada",0,1,1,0,0,NA,0,"Mitt Romney (Republican)","1964"
162320346,"Texas",0,0,1,0,0,55,0,"Mitt Romney (Republican)","1944"
162282069,"California",0,0,0,0,1,5,1,"Barack Obama (Democratic)","1957"
163726004,"Michigan",1,0,0,1,0,55,NA,NA,"1941"
162312021,"Texas",0,1,1,0,1,75,NA,NA,"1944"
162561999,"New Jersey",1,0,1,0,1,45,1,"Barack Obama (Democratic)","1973"
162571141,"Texas",1,0,0,1,0,35,1,"Barack Obama (Democratic)","1964"
164697889,"Washington",0,0,1,0,0,90,NA,NA,"1992"
164471668,"Tennessee",1,0,1,0,0,45,1,"Barack Obama (Democratic)","1955"
162274181,"California",1,0,1,0,1,130,1,"Barack Obama (Democratic)","1953"
162282135,"Georgia",0,1,1,0,1,45,0,"Mitt Romney (Republican)","1947"
